Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
unstimulatedA_502A_K02,unstimulated,126,75,73,138,84,1370,582,63,61.5,163,29,52.5,81,97,663,16366,56,269,389,183,96,70,135,72,,0
unstimulatedA_502A_M02,unstimulated,88,88,73,74.5,63.5,1171.5,457,54,51,118,46.5,62,61,75,529,14736.5,51.5,248,353,149,92,66,94,44.5,,0
unstimulatedA_502A_O02,unstimulated,90.5,164,88.5,99,84,1630,423,60,52,171,53.5,83,84,106,950,16113,84.5,393.5,606,320,88.5,68,117,73,,0
unstimulatedA_502B_A02,unstimulated,347.5,558,420,331,460,2367,2060,141,115,854.5,171,222,321,181,1883,16138.5,135.5,1030,1491,581,704,272.5,1223,231,,0
unstimulatedA_502B_C02,unstimulated,329.5,511.5,227.5,252,281.5,2266,1228,69,83,450,125,114,223,261,1539,16770,121,596,746,576,309.5,121,379.5,122.5,,0
unstimulatedA_502B_E02,unstimulated,144,108,88,123,93,1119,854.5,73,48,257,49.5,70,97,119,614,17341,70.5,246,307.5,190,197,88,211.5,66,,0
unstimulatedA_502B_G02,unstimulated,166,107,120.5,182,140,1581,916,83,47,375,90,91,130,149.5,832,17549,74,394,476,351.5,231,105,236,97.5,,0
unstimulatedA_502B_I02,unstimulated,113,114,100,125,91,1193,727,67,48,204,62,65,93,77,610,16648,77,314,428,253,130,80,178.5,73,,0
unstimulatedA_502B_K02,unstimulated,30,235,123,214,161,1852.5,1329,86,63,378,71,99,161.5,159,1329.5,18402.5,91,419,459.5,371.5,182,127,254.5,91,,0
unstimulatedA_502B_M02,unstimulated,109,55,67,131.5,89,983.5,781.5,56,59,235,67,66.5,71.5,80,730,17549,88,278,328,210,155.5,62,174,70,,0
unstimulatedA_502B_O02,unstimulated,62,148,80,119,118.5,1279.5,717,70.5,36,186,82,82,118,105,1041,17810,56,445,489.5,293,107,74,125,72,,0
unstimulatedA_502C_A02,unstimulated,146,197,142,138,173,1438,1368,90.5,129,413,69,94,123,102,1026.5,15474,92,474,668,345,277,106,649.5,107,,0
unstimulatedA_502C_C02,unstimulated,210,325.5,172,281,175,1308,1600,108,112,479.5,76,105,160.5,146,773,16251.5,100,367.5,615.5,313.5,357,149,469,96,,0
unstimulatedA_502C_E02,unstimulated,76,75.5,67,91,90.5,619,843,51.5,44,189,31,49,60,80.5,322,15590,84,177,219,137,153,85.5,253,65,,0
unstimulatedA_502C_G02,unstimulated,78.5,76,56,100,63,444,464,46,33,161,48,45,74.5,65.5,151,16043,69.5,119,164,110,125,64.5,178,59,,0
